eci,S_ENBID,S_CELLID,S_PCI,S_EARFCN,scTotal,NcTotal,AdjLT-10db,Adj-10db,Adj-9db,Adj-8db,Adj-7db,Adj-6db,Adj-5db,Adj-4db,Adj-3db,Adj-2db,Adj-1db,Adj0db,Adj1db,Adj2db,Adj3db,Adj4db,Adj5db,Adj6db,AdjGT6db,GE-10,GE-6,TotalNei,NeiGE-10,NeiGE-6,AdjTotal,Adj-10db,Adj-6db,overlap6db,overshoot6db,avg_adj_report_times,dbmtotal,dbmavg,overlap1_num,overlap1_rate,overlap2_num,overlap2_rate,overlap3_num,overlap3_rate,overlap4_num,overlap4_rate,overlap5_num,overlap5_rate,overlap6_num,overlap6_rate,overlap7_num,overlap7_rate,overlap8_num,overlap8_rate,cmccoverlap_num,cmccoverlap_rate,500M,1000M,1500M,AVG-Distance,SinrUL
175159811_H11,684218,3,472,38400,1719,1331,273,75,82,128,125,103,125,102,77,72,59,32,43,19,10,2,0,2,2,1058,648,49,35,26,615,226,90,49,15,0.7,68702,-100,435,0.253054101221641,156,0.0907504363001745,43,0.0250145433391507,11,0.00639906922629436,2,0.00116346713205352,1,0.00058173356602676,0,0,0,0,18,0.0104712041884817,0.641070389761489,0.326934264107039,0.0319953461314718,563,35.08784176847
175159811_H12,684218,3,472,38400,2739,1406,379,63,90,130,126,102,119,107,89,64,52,33,25,12,8,2,2,1,2,1027,618,57,33,24,519,274,123,44,24,0.5,110292,-100,438,0.159912376779847,138,0.0503833515881709,35,0.0127783862723622,6,0.00219058050383352,1,0.000365096750638919,0,0,0,0,0,0,21,0.00766703176341731,0.631982475355969,0.333698430083972,0.0343190945600584,591,35.3935742971888
175159811_H13,684218,3,472,38400,3317,1959,375,66,84,96,140,156,163,174,188,178,130,115,54,18,10,5,3,1,3,1584,1198,71,35,22,405,206,89,61,22,0.5,136377,-99,988,0.297859511606874,154,0.0464274947241483,48,0.0144709074464878,8,0.00241181790774797,0,0,0,0,0,0,0,0,25,0.00753693096171239,0.709978896593307,0.27856496834489,0.0114561350618028,500,35.2918299668375
175159811_H14,684218,3,472,38400,2751,2296,408,91,116,129,164,170,217,188,248,206,139,105,58,22,23,3,3,3,3,1888,1388,85,33,25,500,261,114,60,23,0.8,108622,-101,1001,0.363867684478371,277,0.100690657942566,90,0.0327153762268266,18,0.00654307524536532,2,0.000727008360596147,0,0,0,0,0,0,66,0.0239912758996728,0.692111959287532,0.303525990548891,0.00436205016357688,482,35.0210832424573
175159811_H15,684218,3,472,38400,2902,1679,377,70,62,81,95,110,136,148,127,144,113,78,64,37,19,4,5,7,2,1302,994,72,43,28,381,214,126,59,33,0.5,119229,-99,725,0.249827705031013,181,0.0623707787732598,65,0.0223983459682977,19,0.00654720882150241,4,0.00137835975189524,0,0,0,0,0,0,39,0.0134390075809786,0.77670572019297,0.210199862164025,0.0130944176430048,428,35.5017229496899
175159811_H16,684218,3,472,38400,1948,1498,284,69,65,107,127,140,172,119,119,88,61,59,36,27,10,8,3,0,4,1214,846,59,40,25,605,338,141,56,23,0.7,79886,-99,640,0.328542094455852,146,0.0749486652977413,46,0.0236139630390144,13,0.0066735112936345,1,0.000513347022587269,0,0,0,0,0,0,30,0.0154004106776181,0.67864476386037,0.308521560574949,0.0128336755646817,531,35.2458932238193
175159811_H17,684218,3,472,38400,2478,2071,370,88,131,138,150,159,187,199,149,135,126,93,61,35,20,7,13,2,8,1701,1194,54,31,29,605,314,179,58,30,0.8,106825,-97,781,0.315173527037934,295,0.119047619047619,94,0.0379338175948345,20,0.00807102502017756,3,0.00121065375302663,1,0.000403551251008878,0,0,0,0,55,0.0221953188054883,0.656577885391445,0.326069410815174,0.0173527037933818,542,35.2312348668281
175159811_H18,684218,3,472,38400,3311,1978,480,108,105,157,153,181,138,177,133,104,69,55,50,29,13,6,7,7,6,1498,975,67,39,30,627,346,177,49,28,0.5,137163,-99,680,0.205376019329508,207,0.0625188764723648,70,0.0211416490486258,11,0.00332225913621262,5,0.00151011778918756,2,0.000604047115675023,0,0,0,0,37,0.0111748716399879,0.72334642102084,0.25974025974026,0.0169133192389006,508,35.1842343702809
175159811_H19,684218,3,472,38400,3185,2347,532,148,173,273,235,212,185,129,131,107,65,56,46,27,13,5,6,0,4,1815,986,40,32,25,687,366,227,42,33,0.7,131805,-99,728,0.228571428571429,200,0.0627943485086342,49,0.0153846153846154,9,0.00282574568288854,0,0,0,0,0,0,0,0,18,0.00565149136577708,0.76828885400314,0.211930926216641,0.0197802197802198,448,35.207535321821
175159811_H20,684218,3,472,38400,2836,2073,405,115,129,228,193,165,174,137,122,107,107,59,45,32,23,14,5,1,12,1668,1003,62,35,31,889,381,134,48,15,0.7,119484,-98,672,0.236953455571227,243,0.0856840620592384,70,0.0246826516220028,16,0.00564174894217207,1,0.000352609308885755,1,0.000352609308885755,0,0,0,0,47,0.0165726375176305,0.672073342736248,0.311354019746121,0.0165726375176305,556,35.1766572637518
175159811_H21,684218,3,472,38400,3286,2256,570,118,170,195,195,157,204,150,138,135,85,42,31,19,15,12,6,7,7,1686,1008,56,40,30,815,336,146,45,18,0.6,140409,-97,737,0.224284844796105,204,0.0620815581253804,52,0.0158247108947048,12,0.00365185636031649,2,0.000608642726719416,1,0.000304321363359708,0,0,0,0,36,0.0109555690809495,0.646682897139379,0.342665855143031,0.0106512477175898,566,35.2230675593427
175159811_H22,684218,3,472,38400,2714,2018,450,86,117,151,151,157,181,152,154,141,107,66,42,22,16,9,8,2,6,1568,1063,73,55,37,801,402,208,53,26,0.7,112761,-98,742,0.273397199705232,235,0.0865880619012528,58,0.0213706705969049,19,0.00700073691967576,6,0.00221075902726603,2,0.000736919675755343,1,0.000368459837877671,0,0,27,0.00994841562269713,0.544215180545321,0.440309506263817,0.0154753131908622,680,35.0759027266028
175159811_H23,684218,3,472,38400,2693,2205,390,81,105,154,187,260,223,239,180,150,92,58,40,21,8,6,4,0,7,1815,1288,48,33,26,589,322,139,58,24,0.8,112728,-98,948,0.35202376531749,253,0.0939472707018195,69,0.0256219829186781,16,0.00594132937244708,2,0.000742666171555886,0,0,0,0,0,0,31,0.0115113256591162,0.600074266617156,0.391385072409952,0.00854066097289269,617,35.0126253249164
179631105,701684,1,150,38400,93794,108549,16955,5264,6212,7397,8375,7926,8129,8222,7821,7057,6477,5648,4575,3092,1945,1237,801,497,919,91594,64346,242,141,88,11255,3057,1780,59,16,1.1,5051497,-86,39681,0.423065441286223,16316,0.173955690129433,5922,0.0631383670597266,1953,0.0208222274345907,408,0.00434995841951511,59,0.000629038104782822,7,7.46316395505043e-005,0,0,5232,0.0557818197326055,0.672559012303559,0.196067978761968,0.131373008934473,671,35.700492568821
179631105_H00,701684,1,150,38400,6551,8549,771,273,344,426,529,665,702,801,775,744,602,576,508,366,234,126,62,18,27,7778,6206,51,37,27,343,114,77,73,22,1.3,331628,-89,3647,0.556708899404671,1646,0.2512593497176,659,0.100595328957411,219,0.0334300106853915,31,0.00473210196916501,4,0.000610593802472905,0,0,0,0,599,0.0914364219203175,0.484811479163486,0.266371546328805,0.248816974507709,946,35.7865974660357
179631105_H01,701684,1,150,38400,3039,4277,724,341,226,212,195,249,299,327,299,256,242,230,363,205,54,26,8,7,14,3553,2579,35,30,25,236,65,59,60,25,1.4,158684,-88,1537,0.505758473181968,709,0.233300427772294,217,0.0714050674564001,95,0.0312602829878249,19,0.00625205659756499,2,0.000658111220796315,0,0,0,0,207,0.0681145113524186,0.565646594274432,0.226061204343534,0.208292201382034,863,35.4188877920369
179631105_H02,701684,1,150,38400,2357,2534,387,109,101,109,140,161,198,176,199,180,165,183,186,115,50,16,18,10,31,2147,1688,33,26,22,236,66,60,67,25,1,116710,-90,1005,0.426389478150191,398,0.168858718710225,178,0.075519728468392,80,0.0339414509970301,26,0.0110309715740348,1,0.000424268137462877,0,0,0,0,142,0.0602460755197285,0.5634280865507,0.195163343232923,0.241408570216377,939,35.2503182011031
179631105_H03,701684,1,150,38400,1500,1558,100,24,37,54,67,107,113,121,123,127,150,216,137,54,38,21,24,17,28,1458,1276,25,23,21,232,82,82,82,35,1,71207,-93,679,0.452666666666667,383,0.255333333333333,150,0.1,60,0.04,4,0.00266666666666667,0,0,0,0,0,0,130,0.0866666666666667,0.438,0.181333333333333,0.380666666666667,1119,35.1026666666667
179631105_H04,701684,1,150,38400,1779,1216,100,21,78,98,89,117,106,78,71,113,160,132,32,6,4,2,3,3,3,1116,830,33,25,24,230,91,86,68,37,0.6,96978,-85,432,0.24283305227656,234,0.131534569983137,92,0.0517144463181563,71,0.0399100618324902,1,0.000562113546936481,0,0,0,0,0,0,81,0.045531197301855,0.632939853850478,0.131534569983137,0.235525576166386,742,35.0781337830242
179631105_H05,701684,1,150,38400,2044,1467,119,41,74,109,73,116,137,102,113,109,86,87,100,141,49,6,3,1,1,1348,1051,30,22,17,244,94,89,72,36,0.7,111527,-85,550,0.26908023483366,321,0.157045009784736,107,0.0523483365949119,66,0.0322896281800391,6,0.00293542074363992,1,0.000489236790606654,0,0,0,0,104,0.050880626223092,0.599804305283757,0.147260273972603,0.25293542074364,789,35.0655577299413
179631105_H06,701684,1,150,38400,2954,3371,377,119,172,236,333,315,290,191,146,214,211,232,240,160,59,36,19,8,13,2994,2134,42,28,23,265,94,82,63,31,1.1,160501,-86,1177,0.39844278943805,651,0.220379146919431,236,0.0798916723087339,58,0.019634394041977,12,0.004062288422478,0,0,0,0,0,0,217,0.0734597156398104,0.575490859851049,0.159444820582261,0.265064319566689,882,35.3598510494245
179631105_H07,701684,1,150,38400,2700,2286,247,53,116,163,246,152,247,424,239,81,79,65,51,41,17,26,11,5,23,2039,1461,56,42,37,204,53,32,64,16,0.8,149284,-85,1060,0.392592592592593,259,0.0959259259259259,98,0.0362962962962963,36,0.0133333333333333,8,0.00296296296296296,0,0,0,0,0,0,80,0.0296296296296296,0.741481481481482,0.184814814814815,0.0737037037037037,524,35.767037037037
179631105_H08,701684,1,150,38400,2808,2321,379,107,123,200,267,285,229,185,141,105,68,67,43,24,22,25,22,9,20,1942,1245,57,35,29,490,136,67,54,14,0.8,155699,-85,894,0.318376068376068,257,0.0915242165242165,70,0.0249287749287749,21,0.00747863247863248,3,0.00106837606837607,0,0,0,0,0,0,52,0.0185185185185185,0.731125356125356,0.241452991452991,0.0274216524216524,465,35.8511396011396
179631105_H09,701684,1,150,38400,2549,2357,407,97,109,236,264,205,261,237,105,99,83,70,55,44,20,18,13,7,27,1950,1244,50,31,28,499,86,48,53,10,0.9,145678,-83,915,0.358964299725383,232,0.0910160847391134,68,0.0266771282856022,20,0.0078462142016477,7,0.0027461749705767,2,0.00078462142016477,0,0,0,0,59,0.0231463318948607,0.765790506080816,0.185170655158886,0.0490388387602982,422,35.7214593958415
179631105_H10,701684,1,150,38400,2555,1994,425,88,95,153,210,150,96,81,93,90,124,102,85,60,49,27,29,18,19,1569,1023,46,39,35,307,105,35,51,11,0.7,143593,-84,721,0.282191780821918,240,0.0939334637964775,48,0.0187866927592955,14,0.00547945205479452,0,0,0,0,0,0,0,0,31,0.012133072407045,0.790998043052838,0.179647749510763,0.0293542074363992,424,35.7906066536204
179631105_H11,701684,1,150,38400,2428,2420,639,81,131,223,255,189,113,84,93,85,96,73,83,82,68,38,35,13,39,1781,1091,55,38,35,817,103,46,45,6,0.9,146987,-79,617,0.254118616144975,311,0.128088962108731,114,0.0469522240527183,41,0.0168863261943987,8,0.00329489291598023,0,0,0,0,0,0,107,0.0440691927512356,0.779242174629325,0.0988467874794069,0.121911037891269,474,35.8513179571664
179631105_H12,701684,1,150,38400,3874,4405,808,137,183,237,270,248,297,302,361,287,298,251,179,161,140,96,57,40,53,3597,2770,58,41,36,579,40,17,63,3,1.1,217026,-84,1461,0.377129581827568,899,0.232059886422303,310,0.0800206504904492,84,0.0216830149716056,14,0.00361383582860093,2,0.000516262261228704,0,0,0,0,286,0.0738255033557047,0.631905007743934,0.104284976768198,0.263810015487868,772,35.766391326794
179631105_H13,701684,1,150,38400,2944,3793,477,240,290,206,187,142,184,297,303,289,279,291,225,122,90,76,24,16,55,3316,2393,52,40,34,766,386,129,63,17,1.2,160599,-85,1282,0.435461956521739,760,0.258152173913043,277,0.0940896739130435,58,0.0197010869565217,14,0.0047554347826087,2,0.000679347826086957,0,0,0,0,244,0.0828804347826087,0.512228260869565,0.153192934782609,0.334578804347826,969,35.710597826087
179631105_H14,701684,1,150,38400,2075,2140,373,191,275,250,145,115,76,119,93,121,91,86,66,47,34,24,10,5,19,1767,906,47,35,34,562,124,41,42,7,1,118650,-83,520,0.250602409638554,244,0.117590361445783,93,0.0448192771084337,34,0.0163855421686747,11,0.00530120481927711,4,0.00192771084337349,0,0,0,0,64,0.0308433734939759,0.698313253012048,0.230361445783133,0.0713253012048193,541,35.7975903614458
179631105_H15,701684,1,150,38400,2328,2160,675,140,200,187,108,75,79,87,114,89,129,87,65,49,29,11,13,4,19,1485,850,58,39,37,833,131,53,39,6,0.9,135195,-82,488,0.209621993127148,218,0.0936426116838488,94,0.0403780068728522,35,0.0150343642611684,13,0.00558419243986254,2,0.000859106529209622,0,0,0,0,65,0.0279209621993127,0.713917525773196,0.207903780068729,0.0781786941580756,579,35.7302405498282
179631105_H16,701684,1,150,38400,3205,4108,778,286,292,256,216,269,271,295,269,255,205,164,148,102,84,60,39,41,78,3330,2280,58,39,37,543,166,112,56,21,1.2,174166,-86,1266,0.395007800312012,662,0.206552262090484,267,0.0833073322932917,72,0.0224648985959438,11,0.00343213728549142,1,0.00031201248049922,1,0.00031201248049922,0,0,208,0.0648985959438377,0.56411856474259,0.280499219968799,0.155382215288612,756,35.5834633385335
179631105_H17,701684,1,150,38400,4524,5619,629,250,336,344,356,383,465,451,488,413,405,321,241,163,117,98,61,30,68,4990,3704,58,43,38,587,153,106,66,18,1.2,235115,-88,2031,0.44893899204244,1101,0.243368700265252,418,0.092396109637489,130,0.028735632183908,23,0.00508399646330681,1,0.0002210433244916,0,0,0,0,397,0.0877541998231653,0.521662245800177,0.316976127320955,0.161361626878868,812,35.7597259062776
179631105_H18,701684,1,150,38400,6939,8851,1765,510,563,579,632,642,661,628,642,521,447,353,295,200,153,90,70,33,67,7086,4802,65,49,36,492,137,80,54,16,1.2,373404,-86,3066,0.441850410722006,1147,0.165297593313158,422,0.0608156794927223,133,0.0191670269491281,29,0.00417927655281741,4,0.000576451938319643,1,0.000144112984579911,0,0,371,0.0534659172791469,0.673007637988183,0.244847960801268,0.0821444012105491,638,35.7881539126675
179631105_H19,701684,1,150,38400,7782,8512,1790,559,602,635,714,667,656,575,532,480,399,301,215,120,79,57,39,25,67,6722,4212,62,42,35,849,219,128,49,15,1,429765,-85,3140,0.403495245438191,759,0.097532767925983,233,0.02994088923156,67,0.00860961192495502,12,0.0015420200462606,1,0.000128501670521717,0,0,0,0,205,0.0263428424569519,0.825366229760987,0.129401182215369,0.0452325880236443,515,35.8269082498072
179631105_H20,701684,1,150,38400,7515,8805,1689,558,569,670,859,703,675,635,549,546,413,273,218,144,94,70,64,31,45,7116,4460,66,41,31,616,178,90,51,15,1.1,413074,-85,3368,0.448170326014637,770,0.102461743180306,253,0.033666001330672,59,0.00785096473719228,8,0.0010645375914837,2,0.000266134397870925,0,0,0,0,221,0.0294078509647372,0.858283433133733,0.128675981370592,0.0130405854956753,459,35.839254823686
179631105_H21,701684,1,150,38400,8227,10656,1806,611,694,844,1044,858,877,810,758,601,512,447,296,190,110,88,32,37,41,8850,5657,56,33,28,513,153,78,53,15,1.2,435412,-87,3972,0.482800534824359,1109,0.134800048620396,383,0.0465540294153397,138,0.0167740367083992,40,0.00486203962562295,11,0.00133706089704631,4,0.000486203962562295,0,0,326,0.039625622948827,0.801871885255865,0.183420444876626,0.0147076698675094,500,35.7779263400997
179631105_H22,701684,1,150,38400,6321,8686,869,244,345,571,619,587,584,708,793,759,784,694,433,250,168,97,58,46,77,7817,6038,70,40,34,360,117,76,70,21,1.3,317983,-90,3208,0.507514633760481,1740,0.275272899857617,704,0.111374782471128,275,0.0435057744027844,95,0.0150292675209619,15,0.00237304224015187,1,0.000158202816010125,0,0,626,0.0990349628223382,0.603701945894637,0.267679164689131,0.128618889416232,723,35.7414965986395
179631105_H23,701684,1,150,38400,4796,6464,621,184,257,399,557,526,513,508,522,493,449,347,311,246,183,103,87,73,85,5843,4446,53,35,30,452,164,107,69,24,1.3,252632,-87,2645,0.551501251042535,1266,0.263969974979149,431,0.0898665554628857,87,0.01814011676397,13,0.00271059216013344,4,0.000834028356964137,0,0,0,0,410,0.085487906588824,0.633653044203503,0.176814011676397,0.1895329441201,762,35.789824854045
179631106,701684,2,151,38400,49616,69946,17407,3124,3575,5035,6875,6750,5964,5254,4445,3681,2754,1936,1286,741,449,254,123,99,194,52539,33930,289,83,42,25970,18916,8295,49,32,1.4,2526689,-89,23175,0.46708722992583,7606,0.15329732344405,2509,0.0505683650435343,554,0.0111657529829087,77,0.00155191873589165,9,0.000181393099000322,0,0,0,0,2205,0.044441309255079,0.832715253144147,0.160976297968397,0.00630844888745566,427,35.8052644308288
179631106_H00,701684,2,151,38400,2212,3743,523,121,100,163,304,435,508,500,359,320,185,94,58,40,15,11,1,1,5,3220,2532,24,18,18,571,416,165,68,29,1.6,97362,-96,1196,0.540687160940326,810,0.366184448462929,394,0.178119349005425,120,0.054249547920434,12,0.0054249547920434,0,0,0,0,0,0,346,0.156419529837251,0.905515370705244,0.0935804701627486,0.000904159132007233,406,35.7843580470163
179631106_H01,701684,2,151,38400,1262,1704,390,88,73,123,140,139,140,177,150,104,66,47,33,12,11,3,3,1,4,1314,890,19,15,14,413,259,141,52,34,1.3,61309,-91,585,0.463549920760697,205,0.162440570522979,86,0.0681458003169572,14,0.0110935023771791,0,0,0,0,0,0,0,0,84,0.0665610142630745,0.945324881141046,0.054675118858954,0,379,35.891442155309
179631106_H02,701684,2,151,38400,450,681,164,32,42,47,64,54,62,62,46,37,26,18,14,6,1,5,0,0,1,517,332,14,14,12,360,183,125,49,35,1.5,22898,-89,242,0.537777777777778,69,0.153333333333333,19,0.0422222222222222,2,0.00444444444444444,0,0,0,0,0,0,0,0,19,0.0422222222222222,0.922222222222222,0.0777777777777778,0,375,35.9377777777778
179631106_H03,701684,2,151,38400,229,353,29,11,22,30,40,26,63,50,46,15,12,2,2,0,1,2,1,0,1,324,221,13,10,10,302,143,96,63,32,1.5,11349,-90,142,0.620087336244541,64,0.279475982532751,15,0.0655021834061135,0,0,0,0,0,0,0,0,0,0,15,0.0655021834061135,0.973799126637555,0.0262008733624454,0,358,35.8864628820961
179631106_H04,701684,2,151,38400,242,373,34,6,19,34,35,38,69,60,54,18,2,2,0,1,0,0,0,0,1,339,245,14,12,8,277,163,71,66,26,1.5,12193,-90,164,0.677685950413223,66,0.272727272727273,13,0.0537190082644628,2,0.00826446280991736,0,0,0,0,0,0,0,0,13,0.0537190082644628,0.93801652892562,0.0619834710743802,0,385,35.9380165289256
179631106_H05,701684,2,151,38400,257,382,59,11,13,22,34,51,57,55,44,23,5,1,2,0,1,2,1,0,1,323,243,11,11,11,338,193,106,64,31,1.4,13194,-89,156,0.607003891050584,73,0.284046692607004,14,0.0544747081712062,0,0,0,0,0,0,0,0,0,0,14,0.0544747081712062,0.926070038910506,0.0739299610894942,0,381,35.9416342412451
179631106_H06,701684,2,151,38400,764,1105,206,22,48,82,160,113,75,81,70,67,65,71,18,11,9,5,0,1,1,899,587,64,17,13,744,576,196,53,26,1.4,41704,-85,400,0.523560209424084,148,0.193717277486911,28,0.0366492146596859,8,0.0104712041884817,3,0.00392670157068063,0,0,0,0,0,0,28,0.0366492146596859,0.649214659685864,0.350785340314136,0,459,35.9437172774869
179631106_H07,701684,2,151,38400,1090,1400,309,72,97,125,192,200,82,74,68,49,47,28,21,12,8,4,3,3,6,1091,605,72,20,15,791,653,259,43,33,1.2,54899,-90,421,0.386238532110092,134,0.122935779816514,47,0.0431192660550459,3,0.00275229357798165,0,0,0,0,0,0,0,0,47,0.0431192660550459,0.755045871559633,0.244954128440367,0,450,35.8935779816514
179631106_H08,701684,2,151,38400,1538,2283,565,67,93,158,203,249,222,180,149,147,79,57,41,24,17,9,6,4,13,1718,1197,76,26,19,815,579,187,52,23,1.4,75742,-91,812,0.527958387516255,299,0.194408322496749,73,0.0474642392717815,11,0.00715214564369311,1,0.000650195058517555,1,0.000650195058517555,0,0,0,0,65,0.0422626788036411,0.717165149544863,0.280884265279584,0.00195058517555267,485,35.8764629388817
179631106_H09,701684,2,151,38400,1778,2502,742,80,97,146,302,264,197,153,128,108,97,74,52,30,15,4,4,3,6,1760,1135,84,24,18,1035,883,273,45,26,1.4,91408,-89,691,0.388638920134983,302,0.169853768278965,110,0.061867266591676,27,0.015185601799775,5,0.00281214848143982,0,0,0,0,0,0,108,0.0607424071991001,0.772778402699663,0.224971878515186,0.00224971878515186,455,35.8706411698538
179631106_H10,701684,2,151,38400,1488,2000,600,67,80,166,267,170,175,105,101,68,56,43,45,22,11,10,6,4,4,1400,820,69,21,18,481,386,125,41,26,1.3,73268,-91,543,0.36491935483871,200,0.134408602150538,68,0.0456989247311828,9,0.00604838709677419,0,0,0,0,0,0,0,0,48,0.032258064516129,0.827284946236559,0.170698924731183,0.00201612903225806,439,35.8192204301075
179631106_H11,701684,2,151,38400,2644,3278,850,169,191,282,369,333,242,228,175,128,91,90,54,39,16,7,5,3,6,2428,1417,74,23,17,1244,756,194,43,16,1.2,127942,-92,1005,0.380105900151286,309,0.116868381240545,78,0.029500756429652,17,0.00642965204236006,6,0.00226928895612708,2,0.00075642965204236,0,0,0,0,75,0.0283661119515885,0.877836611195159,0.122163388804841,0,390,35.8589258698941
179631106_H12,701684,2,151,38400,1956,2591,882,126,137,207,305,267,191,123,109,66,58,53,33,14,6,3,2,4,5,1709,934,72,20,16,1393,1002,423,36,30,1.3,93892,-92,719,0.36758691206544,141,0.0720858895705521,57,0.0291411042944785,17,0.00869120654396728,0,0,0,0,0,0,0,0,55,0.028118609406953,0.926380368098159,0.0725971370143149,0.00102249488752556,362,35.870654396728
179631106_H13,701684,2,151,38400,1314,2148,526,81,100,197,289,246,179,123,105,85,65,52,44,22,9,9,8,4,4,1622,955,67,19,14,1085,808,337,44,31,1.6,63597,-92,672,0.511415525114155,205,0.156012176560122,64,0.0487062404870624,10,0.0076103500761035,4,0.0030441400304414,0,0,0,0,0,0,58,0.0441400304414003,0.802130898021309,0.197869101978691,0,414,35.8325722983257
179631106_H14,701684,2,151,38400,1854,2671,546,113,132,163,227,286,259,191,198,203,133,97,64,21,14,12,3,3,6,2125,1490,78,20,12,1160,897,416,56,36,1.4,84310,-95,1292,0.696871628910464,165,0.0889967637540453,30,0.0161812297734628,3,0.00161812297734628,0,0,0,0,0,0,0,0,27,0.0145631067961165,0.857605177993528,0.142394822006472,0,405,35.8619201725998
179631106_H15,701684,2,151,38400,1148,1420,524,57,66,106,172,135,84,61,62,51,27,26,23,10,5,6,1,2,2,896,495,71,23,19,1409,871,308,35,22,1.2,60787,-87,343,0.298780487804878,104,0.0905923344947735,34,0.029616724738676,10,0.00871080139372822,3,0.00261324041811847,1,0.000871080139372822,0,0,0,0,15,0.0130662020905923,0.815331010452962,0.184668989547038,0,411,35.7090592334495
179631106_H16,701684,2,151,38400,3104,3961,1381,245,242,320,329,295,225,220,178,148,134,89,70,42,19,6,5,8,5,2580,1444,104,25,20,1442,972,514,36,36,1.2,160516,-88,937,0.301868556701031,304,0.0979381443298969,130,0.0418814432989691,54,0.0173969072164948,16,0.00515463917525773,3,0.000966494845360825,0,0,0,0,60,0.0193298969072165,0.833118556701031,0.166559278350515,0.000322164948453608,428,35.6610824742268
179631106_H17,701684,2,151,38400,3468,5004,2086,294,304,386,366,313,235,238,184,150,120,83,79,40,37,30,24,8,27,2918,1568,107,31,20,1261,792,303,31,24,1.4,183218,-87,1118,0.32237600922722,306,0.0882352941176471,111,0.0320069204152249,28,0.00807381776239908,4,0.00115340253748558,1,0.000288350634371396,0,0,0,0,84,0.0242214532871972,0.848904267589389,0.151095732410611,0,405,35.8062283737024
179631106_H18,701684,2,151,38400,3225,4261,1326,225,256,292,338,253,276,325,277,264,165,87,65,31,30,16,6,8,21,2935,1824,74,27,22,1490,1077,605,43,41,1.3,175687,-86,1377,0.426976744186047,301,0.0933333333333333,117,0.0362790697674419,25,0.00775193798449612,4,0.00124031007751938,0,0,0,0,0,0,106,0.0328682170542636,0.872248062015504,0.126821705426357,0.000930232558139535,381,35.7993798449612
179631106_H19,701684,2,151,38400,3945,5704,1244,227,341,392,520,492,479,434,433,404,318,205,101,41,33,11,8,8,13,4460,2980,80,28,16,2431,1703,793,52,33,1.4,208191,-87,2171,0.550316856780735,581,0.147275031685678,196,0.0496831432192649,29,0.0073510773130545,3,0.000760456273764259,0,0,0,0,0,0,191,0.0484157160963245,0.886945500633714,0.113054499366286,0,392,35.877566539924
179631106_H20,701684,2,151,38400,4872,6721,1320,261,303,500,806,822,708,535,415,307,247,171,117,80,65,25,9,10,20,5401,3531,83,25,19,1519,1110,454,53,30,1.3,241477,-90,2295,0.471059113300493,930,0.190886699507389,246,0.0504926108374384,56,0.0114942528735632,4,0.000821018062397373,0,0,0,0,0,0,204,0.041871921182266,0.884646962233169,0.115353037766831,0,409,35.6892446633826
179631106_H21,701684,2,151,38400,3075,4722,971,221,223,309,442,543,463,377,344,267,184,143,88,62,24,27,10,13,11,3751,2556,71,30,21,1770,1464,716,54,40,1.5,159128,-88,1600,0.520325203252033,663,0.215609756097561,237,0.0770731707317073,51,0.0165853658536585,4,0.00130081300813008,1,0.00032520325203252,0,0,0,0,227,0.0738211382113821,0.795772357723577,0.19869918699187,0.00552845528455285,447,35.830243902439
179631106_H22,701684,2,151,38400,3494,5027,1034,230,244,347,446,456,422,356,352,310,305,215,127,84,47,24,6,6,16,3993,2726,84,26,19,1915,1625,795,54,42,1.4,192500,-85,1940,0.555237550085862,563,0.16113337149399,185,0.0529479107040641,32,0.00915855752718947,6,0.00171722953634803,0,0,0,0,0,0,162,0.0463651974813967,0.764167143674871,0.234115626788781,0.00171722953634803,479,35.7779049799657
179631106_H23,701684,2,151,38400,4207,5912,1096,298,352,438,525,570,551,546,398,342,267,188,135,97,55,23,11,5,15,4816,3203,77,30,20,1724,1405,693,54,40,1.4,220118,-88,2354,0.559543617779891,664,0.157832184454481,157,0.0373187544568576,26,0.006180175897314,2,0.000475398145947231,0,0,0,0,0,0,154,0.0366056572379368,0.714998811504635,0.220347040646541,0.0646541478488234,538,35.7589731400048
179631107,701684,3,152,38400,97388,109390,30590,5798,5965,7228,9361,9420,9224,7891,6632,5287,3879,3045,2095,1368,755,370,195,114,173,78800,50448,233,110,74,28133,18318,7238,46,26,1.1,4525897,-94,35969,0.369337084651086,10620,0.109048342711628,3077,0.0315952684108925,686,0.00704398899248367,83,0.000852261058857354,10,0.000102682055284019,2,2.05364110568037e-005,1,1.02682055284019e-005,1725,0.0177126545364932,0.249086129707972,0.744516778247833,0.00639709204419436,716,35.5999917854356
179631107_H00,701684,3,152,38400,1395,1663,484,79,71,117,187,196,170,115,72,64,32,27,16,20,7,4,0,2,0,1179,725,24,19,16,1003,696,347,44,35,1.1,67487,-92,434,0.311111111111111,184,0.131899641577061,92,0.0659498207885305,14,0.0100358422939068,1,0.000716845878136201,0,0,0,0,0,0,20,0.014336917562724,0.425806451612903,0.520430107526882,0.0537634408602151,652,35.5627240143369
