eci,S_ENBID,S_CELLID,S_PCI,S_EARFCN,scTotal,NcTotal,AdjLT-10db,Adj-10db,Adj-9db,Adj-8db,Adj-7db,Adj-6db,Adj-5db,Adj-4db,Adj-3db,Adj-2db,Adj-1db,Adj0db,Adj1db,Adj2db,Adj3db,Adj4db,Adj5db,Adj6db,AdjGT6db,GE-10,GE-6,TotalNei,NeiGE-10,NeiGE-6,AdjTotal,Adj-10db,Adj-6db,overlap6db,overshoot6db,avg_adj_report_times,dbmtotal,dbmavg,overlap1_num,overlap1_rate,overlap2_num,overlap2_rate,overlap3_num,overlap3_rate,overlap4_num,overlap4_rate,overlap5_num,overlap5_rate,overlap6_num,overlap6_rate,overlap7_num,overlap7_rate,overlap8_num,overlap8_rate,cmccoverlap_num,cmccoverlap_rate,500M,1000M,1500M,AVG-Distance,SinrUL
175159809_H13,684218,1,471,38400,4246,2493,758,167,164,203,197,171,161,165,146,123,93,60,44,17,8,4,3,4,5,1735,1004,36,20,14,118,91,48,40,41,0.5,181078,-97,831,0.195713612812058,162,0.0381535562882713,10,0.0023551577955723,1,0.00023551577955723,0,0,0,0,0,0,0,0,4,0.000942063118228921,0.983984926990108,0.0160150730098917,0,245,35.378709373528
175159809_H14,684218,1,471,38400,4032,2935,866,184,191,228,231,245,236,179,152,139,102,70,41,32,10,14,6,5,4,2069,1235,42,22,18,404,365,280,42,69,0.7,172259,-97,1031,0.255704365079365,181,0.044890873015873,22,0.00545634920634921,1,0.000248015873015873,0,0,0,0,0,0,0,0,6,0.00148809523809524,0.974702380952381,0.025297619047619,0,258,35.4578373015873
175159809_H15,684218,1,471,38400,3420,2432,784,190,194,210,235,185,153,123,88,70,70,49,24,18,17,5,4,3,10,1648,819,35,19,15,183,148,88,34,48,0.7,149936,-96,710,0.207602339181287,98,0.0286549707602339,10,0.00292397660818713,1,0.000292397660818713,0,0,0,0,0,0,0,0,4,0.00116959064327485,0.968713450292398,0.0312865497076023,0,259,35.4347953216374
175159809_H16,684218,1,471,38400,4201,2492,876,164,189,181,211,188,158,125,98,86,68,51,35,21,16,7,5,5,8,1616,871,33,22,15,261,191,101,35,39,0.5,197388,-93,715,0.170197572006665,132,0.0314210902166151,22,0.00523684836943585,2,0.000476077124494168,0,0,0,0,0,0,0,0,4,0.000952154248988336,0.973577719590574,0.0264222804094263,0,244,35.3837181623423
175159809_H17,684218,1,471,38400,5572,2980,1113,148,153,205,181,199,199,162,154,124,110,79,57,31,22,16,11,4,12,1867,1180,47,23,16,237,164,89,40,38,0.5,260094,-93,976,0.17516152189519,172,0.0308686288585786,30,0.0053840631730079,2,0.000358937544867193,0,0,0,0,0,0,0,0,10,0.00179468772433597,0.966259870782484,0.033381191672649,0.000358937544867193,258,35.4761306532663
175159809_H18,684218,1,471,38400,6008,3799,1103,229,241,240,271,258,257,246,263,213,137,106,83,55,28,23,12,10,24,2696,1715,50,26,17,275,182,119,45,43,0.6,264872,-96,1379,0.229527296937417,284,0.0472703062583222,47,0.00782290279627164,5,0.000832223701731025,0,0,0,0,0,0,0,0,13,0.00216378162450067,0.954560585885486,0.045439414114514,0,269,35.3600199733688
175159809_H19,684218,1,471,38400,6288,4361,1438,243,308,321,319,321,311,271,238,182,141,110,59,37,21,14,7,6,14,2923,1732,50,27,20,456,367,281,40,62,0.6,274668,-96,1394,0.221692111959288,305,0.0485050890585242,31,0.00493002544529262,1,0.000159033078880407,1,0.000159033078880407,0,0,0,0,0,0,18,0.00286259541984733,0.982506361323155,0.0174936386768448,0,253,35.4184160305344
175159809_H20,684218,1,471,38400,6813,4515,1405,286,327,346,346,329,324,287,256,200,149,110,65,35,13,10,11,4,12,3110,1805,53,27,15,1693,1558,1261,40,74,0.6,297089,-96,1451,0.212975194481139,324,0.047556142668428,26,0.00381623367092324,4,0.000587112872449728,0,0,0,0,0,0,0,0,13,0.00190811683546162,0.968442683105827,0.0315573168941729,0,265,35.4375458681932
175159809_H21,684218,1,471,38400,8431,6152,1420,298,327,381,414,544,517,619,489,372,293,193,105,73,50,29,9,5,14,4732,3312,63,29,19,565,467,331,54,59,0.7,356789,-98,2506,0.297236389514886,774,0.0918040564583086,30,0.00355829676194995,2,0.000237219784129996,0,0,0,0,0,0,0,0,18,0.00213497805716997,0.920056932748191,0.0799430672518088,0,284,35.4100343968687
175159809_H22,684218,1,471,38400,8276,5850,1532,342,396,418,403,408,442,427,374,334,272,221,130,70,32,17,9,10,13,4318,2759,43,25,19,437,366,267,47,61,0.7,354322,-97,2172,0.262445625906235,518,0.0625906234896085,63,0.00761237312711455,5,0.000604156597390043,1,0.000120831319478009,0,0,0,0,0,0,29,0.00350410826486225,0.975592073465442,0.0244079265345578,0,258,35.4542049299178
